"gene","variance","mean_expr"
"CFHR2",11.6304458272202,2.08450754829714
"DLK1",11.6226078901065,4.09929437033429
"SYT8",11.600748980095,6.75901618116414
"CFHR1",11.5923861185808,3.38262425894011
"GATA5",11.5681665473789,4.72801628999701
"IGKV3-20",11.5453318844567,8.49351918465174
"LCN2",11.5392995820124,7.78646305925235
"IGLV3-25",11.5170218573676,6.19704892630164
"GP2",11.5039065359178,5.16570657530938
"ANXA8",11.4914490374836,6.77581423992422
"GSTA1",11.4799468041131,4.3703340215285
"IGLV2-23",11.4534956789053,6.86634589884518
"ADH1B",11.4505254099956,10.4379502849371
"ACSM2B",11.4358143302283,4.29522082753734
"RP11-49K24.9",11.4356486256627,3.03747480506451
"LRP2",11.4317425456397,10.9441118804006
"SERPINA7",11.4263182643888,2.76777819470467
"RNVU1-14",11.424581794416,3.79126431230164
"TCEB3CL2",11.4189947149362,4.98990961943193
"RP11-474G23.2",11.4170649146842,7.16661924184614
"SCN1A",11.4125939457401,4.85059761291719
"RP11-169F17.1",11.4041094663834,3.62128020478131
"ATP6V1G2-DDX39B",11.402395796243,4.58395770467528
