interaction;name
RP11-244B22.1;AP003900.6
LINC00538;PROX1-AS1
IRS4;RP6-24A23.7
GRIN2A;IMPDH1P11
C21orf91-OT1;CHODL-AS1
APCS;UGT1A4
CHRM2;AC009264.1
KLK5;KRT16
FAM157A;RP11-34P13.14
GDF2;PRODH2
IGLV2-11;IGHV1-2
PRRX1;RP1-79C4.4
CXCL11;CXCL10
CD209;CR1
RP11-326K13.3;EIF4BP4
BAAT;CYP4A11
AC008268.1;C1orf64
SNORD116-16;SNORD116-26
LINC01206;MTND2P7
AC114730.3;GAL3ST2
OR5P1P;RP11-494M8.4
MAGEA2B;RP11-366F6.2
RP11-925D8.5;RP11-925D8.6
RP11-398E10.1;FSCB
SLC7A2;RP11-349F21.2
OR4K8P;SNX19P3
LY9;TIGIT
ZNF727;TRIM60P17
ESR1;RP3-443C4.2
RP11-527H14.4;ANKRD30BP1
RNU5B-1;SCARNA23
RP11-191L9.4;CTA-280A3.2
SNORA52;SNORA57
ACSM2A;CYP4A11
FLG;FLG2
IGHV3-53;IGHV3-48
RASGRF1;RP11-16K12.1
RP11-717H13.1;MTND5P3
RP5-865N13.1;RP11-544D21.2
SNORD3A;SNORA57
OR52N2;OR52E7P
IGKV1D-39;IGKV2-24
FLJ36000;RP11-744K17.2
APOC3;HPD
OR8B1P;PDCL3P3
PSG1;PSG8
HP;ITIH1
RPL35AP31;DACH1
RP11-594N15.2;RP11-594N15.3
SNORA80A;SNORA76A
TRIM64B;RP11-544D21.2
HPX;SERPINA11
IGKV1-9;IGHV3-48
RP11-404G16.2;PRODH2
RGSL1;LINC01247
GREM2;HSD17B13
ISX;RP3-323A16.1
FAM201A;SNX18P3
HERC2P5;RP11-586K12.2
RP11-34P13.16;RP11-34P13.14
IGHG1;IGHV3-48
RP11-813N20.1;UGT2B10
KLK15;LINC00841
MTND1P15;NEUROD1
UGT1A7;DNAJB3
RP11-16E18.1;MTND2P7
FLJ45079;MTND2P7
C8A;UGT1A4
PRKRIRP8;LINC00977
SNORA67;SNORA18
RNY3;RNY4
RP11-131J3.1;SLC25A24P2
CTD-3118D7.1;FAM189A1
CNPY1;AC073869.8
RP11-445F12.1;LHX1
HOXA-AS3;HOXA-AS2
GOLGA6L22;EIF4BP4
RP11-744K17.1;ANKRD30BP2
OR4H6P;CTD-2384A14.1
IGKV1-17;IGKV2-24
CYP2E1;BHMT
RP11-113E21.2;AC073869.8
MAGEA6;CSAG1
SERPINB5;KRT6B
CYP4A22;CYP4A11
FCRL3;TNFRSF13B
IGLV6-57;IGHV1-2
RP11-36D19.9;EIF4BP4
CTD-2311M21.3;CTD-2311M21.2
SLC17A3;RP11-372E1.4
KLK8;TRIM29
DTHD1;LINC00861
PADI1;RP11-380J14.1
HBB;HBG2
F11;UGT1A4
SLC25A24P1;NBPF6
RP11-1437A8.4;EIF4BP4
KPRP;EIF4BP4
CD209;F13A1
MCIDAS;CCNO
RP11-677O4.2;NEUROD1
GATA3-AS1;GATA3
LINC01299;NEUROD1
CYLC2;MTND2P7
GDF2;AC013275.2
PRR15;FOXA1
GJB3;TRIM29
OR52E4;OR52E7P
OR11K1P;PDCL3P3
KLK7;DSG3
RP11-1217F2.13;MTND5P13
PANX3;PDCL3P3
RP11-299H22.1;AC073869.8
FAR2P1;POTEI
SNORD116-15;SNORD116-26
RP11-753D20.4;RP11-544D21.2
CTC-281M20.1;AC073869.8
FABP1;UGT1A4
IGHM;IGHV3-48
PCAT29;RP11-279F6.2
IGLV3-21;IGHV1-2
OR10J6P;RP11-372E1.4
UBD;OR2I1P
UGT1A5;DNAJB3
LINC01007;NEUROD1
