gene	Primary_1	Primary_3	Primary_4	Primary_5	Primary_6	Primary_7	Primary_8	Primary_9	Primary_10	Primary_11	Primary_12	Primary_14	Primary_17	Primary_18	Primary_20	Primary_21	Primary_22	Primary_23	Primary_26	Primary_27	Primary_28	Primary_30	Primary_32	Primary_33	Primary_34	Primary_35	Primary_37	Primary_39	Primary_41	Primary_42	Primary_43
AGGF1P3	4.95070912863812	8.87442697953944	5.58069544054652	6.62382813732322	2.26179406757368	6.65050162293924	7.37997009466557	5.96348332205125	6.72694524836128	6.26362077468812	5.71687532990375	3.29319580040183	3.09814853260438	3.95034179484021	3.83696160398806	1.58040908849165	5.88594737190074	5.34360167372941	3.93384497034178	4.84302060499654	0	2.91378704333187	4.51668059927715	0	0	0	3.26065179654427	3.72810477021785	3.34482427583029	6.44111111405842	0
FAR2P1	5.78407900556025	12.0927631983767	10.1586828775717	7.55100193979256	9.52665101968937	7.10325111837444	11.600066475451	7.13180251365925	10.1977884203762	11.5074706657775	5.16480189706654	4.32833424773634	8.12454170723657	12.4665858126393	10.4038184298406	7.02150689206295	10.9735355687766	7.24040527827509	5.48264422697524	9.46088922193647	9.17293625222496	14.3464341258105	11.2769406780378	7.65392015392201	10.4460291281766	11.4206218545413	12.2135466058372	10.2971962574931	8.5144175759783	10.4413995501103	10.4298620078718
C1orf158	5.98513793906227	8.00616871813387	2.55533898156917	0	0	2.44360303863386	6.23905136165092	5.27147381455404	2.83871985671088	0	2.26960476216933	2.17668186804505	0	2.75662963734908	0	1.56071776797159	4.60015993654092	5.38428052489273	3.25504875089862	1.91459632442814	0	0	0	3.03336900558365	0	2.07342486148918	7.04339284874474	0	4.16008483500371	4.67467968887449	0
RP11-9G1.3	4.20604481666868	7.8996851021901	3.05607450033	3.0970495515722	0	3.30450706344147	6.81763209143354	2.25172556131795	2.02748140632242	2.02407652522584	2.75122057914079	0	1.74623272279612	2.75663045687807	1.40164979922403	1.56071776797159	5.68324493097757	5.48872634720867	7.01351952205024	3.21882409282409	5.54268837371067	3.81474271358997	0	0	0	0	3.5521557691498	0	4.37090170964525	7.08713740468138	0
PASD1	0	8.54284044199417	2.55533598845618	3.0970495515722	3.10295202694408	3.30450706344147	5.89632803869872	2.73200474196427	4.03427344487884	1.34122135232853	5.36212382452204	3.29319580040183	0	1.54566526705939	0	2.77610762281764	5.16515512688753	4.52050325216447	1.64927153337381	0	0	0	0	0	0	0	4.18335290931315	0	0	6.87730766068857	0
OPRD1	8.87598734345535	9.56816127858339	7.0831131495956	11.055885657592	4.17643900066338	6.3825655668255	7.96445243189516	4.61980514907487	8.25557569752504	7.07069176622063	4.98072366940005	9.74713153526229	4.02332380859654	3.6457398175655	8.98043913830296	6.70529100567329	7.68937848421501	10.1259039563651	3.78873924383672	4.34983298912726	4.36362766831325	6.38226158037872	11.3243843404697	10.153516964546	5.77133895943907	5.70988453515084	8.64380301826917	5.22576894634645	10.2908141357276	9.25982411777462	3.9645712499032
TNR	6.82297670920095	9.86716230751365	6.43238752384311	7.29619300101757	6.25137560964593	8.41218433386048	9.22224029505193	5.52826816447972	7.96711739048834	7.1350710926329	6.1640086046802	5.37479396980001	6.67605574094658	6.09124560139166	8.13003517908796	13.5104554881419	8.43436150704493	7.51477010969007	4.61496146940552	5.95284206053285	2.17273384553863	6.42571425230069	10.553333755933	6.63263144387223	0	6.45349869631434	6.5434898422823	7.24891629763291	5.83942504199357	10.1021850486971	5.22995617363421
RP11-326A19.5	0	6.68335930423769	8.2958848884691	9.07055610517632	9.81323323366569	8.92931874103001	8.70278783782834	8.61848280233371	9.25655435034821	8.44309890221613	9.56174492639985	9.30687537080651	9.4065228417321	9.10287046162706	8.291228675845	8.86256226170039	7.20901992858233	10.1346754690823	9.24058750406241	11.2166921240785	8.77894080801757	9.65592014154916	10.3530451097061	9.45518551890854	8.49514767996978	10.016563295597	8.95231976464926	9.35426106276818	9.27950748328648	0	9.18714464180017
ANKRD66	6.33629097967001	9.00336195909755	4.17577619889747	3.0970495515722	2.74282815198038	3.30450706344147	5.89632674913984	2.25172556131795	4.84259450595924	5.73184428902636	2.26960476216933	2.17668186804505	0	2.75663045687807	1.40164979922403	0	6.06364658038331	5.38428052489273	3.99614149289007	2.70932729934453	0	2.91378704333187	0	0	4.93029465270536	2.89097052234227	0	2.34593498119848	3.61491664934232	8.32201106955735	5.22995617363421
DAPL1	0	5.99323192200073	6.14181894935247	2.62819990502451	7.87311379105218	3.80913940453546	5.44595152897921	1.52670019170299	2.02748140632242	3.42942216477263	2.76249018262552	2.8494948553378	0	9.69107830749389	2.56708448332077	0	5.31313184933848	2.04820073663749	3.3625927711161	4.42035474483051	0	2.62564301808658	2.91975324488991	0	3.17678474840468	5.87674371499989	2.89493783340737	3.21734335574572	3.91833768675057	3.73008979569755	7.73384184102782
RP11-454P7.1	0	7.5732373720932	0	2.0590616475279	0	4.13285741216903	6.39684159610356	1.70229537527573	2.32843067531784	3.25862293731444	3.9388129615389	1.65738997798246	2.72809282879237	2.65598073174388	0	0	5.16806313470967	4.35783363131424	0	0	4.88380686161159	0	0	4.39919354977455	0	0	2.39811336796921	0	0	7.43994940071738	0
