GEN1,GEN2
MTND4P10,MTND2P6
MTND4P10,HHLA1
MTND4P10,AC011525.2
MTND4P10,LINC00700
MTND4P10,KLK15
MTND4P10,MTND4P4
MTND4P10,RP11-101E19.4
MTND4P10,CCDC11P1
MTND4P10,LINC01378
MTND4P10,RP11-340L3.1
MTND4P10,RP11-383M4.6
MTND4P10,MYADML
MTND4P10,RP11-897M7.2
MTND4P10,AC006548.28
MTND4P10,MTND5P27
MTND4P10,MTND5P23
MTND4P10,MIR7515HG
MTND4P10,MMD2
MTND4P10,CYLC2
MTND4P10,C1orf87
MTND4P10,RP11-744K17.1
MTND4P10,RP11-263G22.1
MTND4P10,CTA-929C8.6
MTND4P10,NEFHP1
MTND4P10,CTD-2320B12.1
MTND4P10,AC105342.1
MTND4P10,AP003025.2
MTND4P10,CTC-281M20.1
MTND4P10,SLC17A6
MTND4P10,C1orf141
MTND4P10,JAZF1-AS1
MTND4P10,RP11-491F9.3
MTND4P10,MTND5P3
MTND4P10,CNPY1
MTND4P10,AC007326.10
MTND4P10,BPESC1
MTND4P10,RP11-861E23.2
MTND4P10,RP4-815D20.1
MTND4P10,RP11-646E18.4
MTND4P10,RP11-475D12.2
MTND4P10,RP11-756P10.2
MTND4P10,RP11-677O4.2
MTND4P10,RP11-566K19.12
MTND4P10,BOD1L2
MTND4P10,RP11-159D12.10
MTND4P10,MTND5P29
MTND4P10,RP11-989E6.8
MTND4P10,USP29
MTND4P10,CTC-304I17.1
MTND4P10,C2orf78
MTND4P10,RP11-544D21.2
MTND4P10,RP11-474D1.3
MTND4P10,RP5-865N13.1
MTND4P10,RP11-474J18.1
MTND4P10,FOXR2
MTND4P10,LINC01247
MTND4P10,OR2L3
MTND4P10,HTR5A-AS1
MTND4P10,LINC00608
MTND4P10,RP11-299H22.1
MTND4P10,RP11-513O17.3
MTND4P10,EIF4BP4
MTND4P10,MOBP
MTND4P10,RP11-113E21.3
MTND4P10,MTND5P19
MTND4P10,RP11-144L1.4
MTND4P10,PABPC1P13
MTND4P10,AP000235.2
MTND4P10,ANKRD66
MTND4P10,SLC4A1APP2
MTND4P10,SLC10A2
MTND4P10,OR1S2
MTND4P10,RP11-613G13.1
MTND4P10,C11orf87
MTND4P10,RP11-491F9.2
MTND4P10,C10orf53
MTND4P10,RP11-300A12.2
MTND4P10,RP11-760D2.11
MTND4P10,NEUROD1
MTND4P10,AC073065.3
MTND4P10,FLJ33581
MTND4P10,MTND5P30
MTND4P10,SPATA31D2P
MTND4P10,REXO1L1P
MTND4P10,LINC01007
MTND4P10,PABPC1P6
